timestamp,value
1558128780,26535948
1558128781,26535948
1558128782,26535948
1558128783,26535948
1558128784,26535948
1558128785,26535948
1558128786,26535948
1558128787,26535948
1558128788,26535948
1558128789,26535948
1558128790,26535948
1558128791,26535949
1558128792,26535949
1558128793,26535949
1558128794,26535949
1558128795,26535949
1558128796,26535949
1558128797,26535949
1558128798,26535949
1558128799,26535949
1558128800,26535998
1558128801,26535998
1558128802,26536070
1558128803,26536133
1558128804,26536226
1558128805,26536323
1558128806,26536435
1558128807,26536558
1558128808,26536658
1558128809,26536768
1558128810,26536880
1558128811,26536988
1558128812,26537104
1558128813,26537220
1558128814,26537339
1558128815,26537456
1558128816,26537577
1558128817,26537695
1558128818,26537806
1558128819,26537912
1558128820,26538026
1558128821,26538139
1558128822,26538253
1558128823,26538368
1558128824,26538479
1558128825,26538619
1558128826,26538777
1558128827,26538945
1558128828,26539105
1558128829,26539267
1558128830,26539435
1558128831,26539622
1558128832,26539779
1558128833,26539962
1558128834,26540140
1558128835,26540324
1558128836,26540509
1558128837,26540577
1558128838,26540577
1558128839,26540750
1558128840,26540895
1558128841,26541187
1558128842,26541440
1558128843,26541669
1558128844,26541928
1558128845,26542153
1558128846,26542363
1558128847,26542576
1558128848,26542775
1558128849,26543009
1558128850,26543229
1558128851,26543452
1558128852,26543670
1558128853,26543873
1558128854,26544088
1558128855,26544320
1558128856,26544540
1558128857,26544768
1558128858,26544958
1558128859,26545158
1558128860,26545376
1558128861,26545566
1558128862,26545788
1558128863,26546027
1558128864,26546227
1558128865,26546451
1558128866,26546647
1558128867,26546845
1558128868,26547052
1558128869,26547264
1558128870,26547479
1558128871,26547721
1558128872,26547944
1558128873,26548145
1558128874,26548378
1558128875,26548593
1558128876,26548804
1558128877,26549025
1558128878,26549337
1558128879,26549681
1558128880,26549987
1558128881,26550249
1558128882,26550477
1558128883,26550704
1558128884,26550935
1558128885,26551158
1558128886,26551382
1558128887,26551604
1558128888,26551794
1558128889,26551945
1558128890,26552173
1558128891,26552396
1558128892,26552609
1558128893,26552835
1558128894,26553032
1558128895,26553249
1558128896,26553445
1558128897,26553653
1558128898,26553846
1558128899,26554053
1558128900,26554251
1558128901,26554466
1558128902,26554678
1558128903,26554875
1558128904,26555074
1558128905,26555287
1558128906,26555476
1558128907,26555688
1558128908,26555898
1558128909,26556081
1558128910,26556255
1558128911,26556450
1558128912,26556640
1558128913,26556847
1558128914,26557171
1558128915,26557462
1558128916,26557759
1558128917,26557968
1558128918,26558164
1558128919,26558364
1558128920,26558559
1558128921,26558754
1558128922,26558961
1558128923,26559178
1558128924,26559369
1558128925,26559577
1558128926,26559792
1558128927,26559975
1558128928,26560178
1558128929,26560376
1558128930,26560580
1558128931,26560780
1558128932,26560975
1558128933,26561180
1558128934,26561364
1558128935,26561572
1558128936,26561941
1558128937,26562370
1558128938,26562773
1558128939,26563103
1558128940,26563342
1558128941,26563604
1558128942,26563835
1558128943,26564051
1558128944,26564281
1558128945,26564488
1558128946,26564713
1558128947,26564912
1558128948,26565108
1558128949,26565302
1558128950,26565509
1558128951,26565714
1558128952,26566076
1558128953,26566360
1558128954,26566596
1558128955,26566969
1558128956,26567314
1558128957,26567580
1558128958,26567825
1558128959,26568066
1558128960,26568305
1558128961,26568506
1558128962,26568723
1558128963,26568911
1558128964,26569112
1558128965,26569320
1558128966,26569538
1558128967,26569703
1558128968,26569909
1558128969,26570078
1558128970,26570277
1558128971,26570477
1558128972,26570678
1558128973,26570884
1558128974,26571090
1558128975,26571295
1558128976,26571499
1558128977,26571687
1558128978,26571892
1558128979,26572079
1558128980,26572281
1558128981,26572462
1558128982,26572648
1558128983,26572844
1558128984,26573129
1558128985,26573508
1558128986,26573772
1558128987,26573991
1558128988,26574189
1558128989,26574369
1558128990,26574552
1558128991,26574738
1558128992,26574956
1558128993,26575178
1558128994,26575360
1558128995,26575547
1558128996,26575758
1558128997,26575939
1558128998,26576147
1558128999,26576351
1558129000,26576576
1558129001,26576790
1558129002,26576993
1558129003,26577209
1558129004,26577399
1558129005,26577606
1558129006,26577801
1558129007,26577998
1558129008,26578200
1558129009,26578404
1558129010,26578598
1558129011,26578792
1558129012,26578963
1558129013,26579149
1558129014,26579347
1558129015,26579547
1558129016,26579719
1558129017,26579984
1558129018,26580353
1558129019,26580598
1558129020,26580868
1558129021,26581079
1558129022,26581266
1558129023,26581481
1558129024,26581657
1558129025,26581839
1558129026,26582048
1558129027,26582251
1558129028,26582461
1558129029,26582659
1558129030,26582841
1558129031,26583042
1558129032,26583230
1558129033,26583429
1558129034,26583614
1558129035,26583810
1558129036,26583996
1558129037,26584184
1558129038,26584370
1558129039,26584546
1558129040,26584741
1558129041,26584946
1558129042,26585148
1558129043,26585343
1558129044,26585535
1558129045,26585735
1558129046,26585922
1558129047,26586128
1558129048,26586322
1558129049,26586519
1558129050,26586690
1558129051,26586877
1558129052,26587252
1558129053,26587555
1558129054,26587795
1558129055,26588025
1558129056,26588240
1558129057,26588441
1558129058,26588650
1558129059,26588822
1558129060,26589030
1558129061,26589227
1558129062,26589435
1558129063,26589691
1558129064,26589886
1558129065,26590085
1558129066,26590288
1558129067,26590481
1558129068,26590700
1558129069,26590911
1558129070,26591127
1558129071,26591312
1558129072,26591497
1558129073,26591673
1558129074,26591874
1558129075,26592067
1558129076,26592233
1558129077,26592427
1558129078,26592609
1558129079,26592806
1558129080,26593004
1558129081,26593183
1558129082,26593370
1558129083,26593559
1558129084,26593765
1558129085,26593951
1558129086,26594196
1558129087,26594385
1558129088,26594785
1558129089,26595068
1558129090,26595714
1558129091,26596190
1558129092,26596501
1558129093,26596761
1558129094,26596998
1558129095,26597231
1558129096,26597441
1558129097,26597638
1558129098,26597840
1558129099,26598044
1558129100,26598249
1558129101,26598429
1558129102,26598630
1558129103,26598780
1558129104,26598977
1558129105,26599162
1558129106,26599362
1558129107,26599551
1558129108,26599748
1558129109,26599946
1558129110,26600135
1558129111,26600340
1558129112,26600520
1558129113,26600708
1558129114,26600896
1558129115,26601067
1558129116,26601337
1558129117,26601543
1558129118,26601923
1558129119,26602297
1558129120,26602558
1558129121,26602797
1558129122,26602993
1558129123,26603207
1558129124,26603434
1558129125,26603626
1558129126,26603826
1558129127,26604035
1558129128,26604244
1558129129,26604441
1558129130,26604637
1558129131,26604845
1558129132,26605056
1558129133,26605269
1558129134,26605484
1558129135,26605696
1558129136,26605892
1558129137,26606094
1558129138,26606320
1558129139,26606496
1558129140,26606686
1558129141,26606895
1558129142,26607081
1558129143,26607252
1558129144,26607446
1558129145,26607624
1558129146,26607818
1558129147,26608020
1558129148,26608208
1558129149,26608382
1558129150,26608752
1558129151,26609063
1558129152,26609320
1558129153,26609545
1558129154,26609743
1558129155,26609942
1558129156,26610138
1558129157,26610351
1558129158,26610552
1558129159,26610757
1558129160,26610958
1558129161,26611135
1558129162,26611348
1558129163,26611591
1558129164,26611805
1558129165,26612020
1558129166,26612222
1558129167,26612414
1558129168,26612613
1558129169,26612815
1558129170,26613010
1558129171,26613212
1558129172,26613418
1558129173,26613598
1558129174,26613794
1558129175,26614012
1558129176,26614221
1558129177,26614432
1558129178,26614624
1558129179,26614833
1558129180,26615201
1558129181,26615531
1558129182,26615804
1558129183,26616031
1558129184,26616261
1558129185,26616446
1558129186,26616659
1558129187,26616864
1558129188,26617053
1558129189,26617255
1558129190,26617442
1558129191,26617630
1558129192,26617827
1558129193,26617994
1558129194,26618185
1558129195,26618375
1558129196,26618566
1558129197,26618746
1558129198,26618932
1558129199,26619124
1558129200,26619320
1558129201,26619488
1558129202,26619685
1558129203,26619884
1558129204,26620085
1558129205,26620291
1558129206,26620498
1558129207,26620691
1558129208,26620870
1558129209,26621072
1558129210,26621267
1558129211,26621441
1558129212,26621595
1558129213,26621882
1558129214,26622207
1558129215,26622451
1558129216,26622682
1558129217,26622898
1558129218,26623079
1558129219,26623290
1558129220,26623489
1558129221,26623661
1558129222,26623868
1558129223,26624056
1558129224,26624247
1558129225,26624415
1558129226,26624601
1558129227,26624801
1558129228,26624955
1558129229,26625126
1558129230,26625623
1558129231,26626042
1558129232,26626380
1558129233,26626625
1558129234,26626842
1558129235,26627065
1558129236,26627259
1558129237,26627447
1558129238,26627654
1558129239,26627831
1558129240,26628023
1558129241,26628210
1558129242,26628553
1558129243,26628857
1558129244,26629111
1558129245,26629429
1558129246,26629699
1558129247,26629927
1558129248,26630150
1558129249,26630348
1558129250,26630552
1558129251,26630744
1558129252,26630929
1558129253,26631117
1558129254,26631304
1558129255,26631490
1558129256,26631699
1558129257,26631896
1558129258,26632099
1558129259,26632302
1558129260,26632482
1558129261,26632690
1558129262,26632872
1558129263,26633061
1558129264,26633259
1558129265,26633458
1558129266,26633640
1558129267,26633815
1558129268,26634015
1558129269,26634217
1558129270,26634401
1558129271,26634564
1558129272,26634964
1558129273,26635253
1558129274,26635488
1558129275,26635714
1558129276,26635916
1558129277,26636111
1558129278,26636292
1558129279,26636461
1558129280,26636624
1558129281,26636810
1558129282,26637026
1558129283,26637471
1558129284,26637856
1558129285,26638158
1558129286,26638418
1558129287,26638656
1558129288,26638878
1558129289,26639077
1558129290,26639304
1558129291,26639509
1558129292,26639719
1558129293,26639892
1558129294,26640068
1558129295,26640260
1558129296,26640452
1558129297,26640640
1558129298,26640823
1558129299,26640998
1558129300,26641211
1558129301,26641390
1558129302,26641838
1558129303,26642118
1558129304,26642359
1558129305,26642556
1558129306,26642757
1558129307,26642944
1558129308,26643132
1558129309,26643329
1558129310,26643530
1558129311,26643705
1558129312,26643902
1558129313,26644092
1558129314,26644275
1558129315,26644483
1558129316,26644666
1558129317,26644858
1558129318,26645063
1558129319,26645255
1558129320,26645473
1558129321,26645667
1558129322,26645838
1558129323,26646021
1558129324,26646202
1558129325,26646391
1558129326,26646603
1558129327,26646765
1558129328,26646941
1558129329,26647139
1558129330,26647339
1558129331,26647517
1558129332,26647709
1558129333,26647904
1558129334,26648093
1558129335,26648297
1558129336,26648513
1558129337,26648722
1558129338,26648945
1558129339,26649155
1558129340,26649547
1558129341,26649846
1558129342,26650102
1558129343,26650316
1558129344,26650537
1558129345,26650771
1558129346,26651009
1558129347,26651230
1558129348,26651453
1558129349,26651693
1558129350,26651926
1558129351,26652182
1558129352,26652439
1558129353,26652683
1558129354,26652914
1558129355,26653155
1558129356,26653394
1558129357,26653632
1558129358,26653841
1558129359,26654079
1558129360,26654360
1558129361,26654617
1558129362,26654894
1558129363,26655142
1558129364,26655613
1558129365,26655962
1558129366,26656263
1558129367,26656540
1558129368,26657058
1558129369,26657572
1558129370,26657988
1558129371,26658342
1558129372,26658688
1558129373,26659010
1558129374,26659252
1558129375,26659546
1558129376,26659846
1558129377,26660112
1558129378,26660410
1558129379,26660671
1558129380,26660925
1558129381,26661177
1558129382,26661444
1558129383,26661724
1558129384,26661992
1558129385,26662301
1558129386,26662552
1558129387,26662817
1558129388,26663061
1558129389,26663335
1558129390,26663573
1558129391,26663874
1558129392,26664117
1558129393,26664378
1558129394,26664644
1558129395,26664969
1558129396,26665342
1558129397,26665714
1558129398,26665994
1558129399,26666290
1558129400,26666522
1558129401,26666778
1558129402,26667047
1558129403,26667330
1558129404,26667552
1558129405,26667765
1558129406,26668002
1558129407,26668210
1558129408,26668434
1558129409,26668680
1558129410,26668910
1558129411,26669180
1558129412,26669429
1558129413,26669631
1558129414,26669898
1558129415,26670524
1558129416,26670927
1558129417,26671294
1558129418,26671627
1558129419,26671911
1558129420,26672175
1558129421,26672408
1558129422,26672643
1558129423,26672828
1558129424,26673119
1558129425,26673375
1558129426,26673626
1558129427,26673860
1558129428,26674117
1558129429,26674331
1558129430,26674560
1558129431,26674796
1558129432,26675059
1558129433,26675442
1558129434,26675831
1558129435,26676147
1558129436,26676430
1558129437,26676678
1558129438,26676951
1558129439,26677176
1558129440,26677410
1558129441,26677658
1558129442,26677905
1558129443,26678156
1558129444,26678381
1558129445,26678652
1558129446,26678897
1558129447,26679160
1558129448,26679411
1558129449,26679662
1558129450,26679881
1558129451,26680172
1558129452,26680443
1558129453,26680783
1558129454,26681118
1558129455,26681416
1558129456,26681675
1558129457,26681918
1558129458,26682129
1558129459,26682526
1558129460,26682937
1558129461,26683249
1558129462,26683514
1558129463,26683829
1558129464,26684147
1558129465,26684388
1558129466,26684674
1558129467,26684924
1558129468,26685165
1558129469,26685407
1558129470,26685653
1558129471,26685892
1558129472,26686145
1558129473,26686414
1558129474,26686655
1558129475,26686884
1558129476,26687089
1558129477,26687340
1558129478,26687534
1558129479,26687762
1558129480,26687991
1558129481,26688228
1558129482,26688455
1558129483,26688667
1558129484,26689155
1558129485,26689559
1558129486,26689925
1558129487,26690210
1558129488,26690458
1558129489,26690767
1558129490,26691034
1558129491,26691294
1558129492,26691696
1558129493,26692049
1558129494,26692314
1558129495,26692552
1558129496,26692818
1558129497,26693026
1558129498,26693275
1558129499,26693466
1558129500,26693730
1558129501,26693954
1558129502,26694188
1558129503,26694385
1558129504,26694588
1558129505,26694858
1558129506,26695109
1558129507,26695365
1558129508,26695638
1558129509,26695881
1558129510,26696103
1558129511,26696309
1558129512,26696513
1558129513,26696697
1558129514,26696931
1558129515,26697153
1558129516,26697400
1558129517,26697644
1558129518,26697879
1558129519,26698235
1558129520,26698595
1558129521,26698950
1558129522,26699304
1558129523,26699507
1558129524,26699790
1558129525,26699999
1558129526,26700207
1558129527,26700458
1558129528,26700674
1558129529,26700850
1558129530,26701087
1558129531,26701330
1558129532,26701577
1558129533,26701832
1558129534,26702029
1558129535,26702290
1558129536,26702522
1558129537,26702727
1558129538,26702989
1558129539,26703214
1558129540,26703434
1558129541,26703630
1558129542,26703818
1558129543,26704043
1558129544,26704719
1558129545,26705372
1558129546,26705794
1558129547,26706068
1558129548,26706342
1558129549,26706599
1558129550,26706865
1558129551,26707112
1558129552,26707335
1558129553,26707547
1558129554,26707776
1558129555,26708050
1558129556,26708310
1558129557,26708535
1558129558,26708765
1558129559,26709002
1558129560,26709231
1558129561,26709464
1558129562,26709705
1558129563,26709953
1558129564,26710172
1558129565,26710387
1558129566,26710587
1558129567,26710786
