timestamp,value
1558128780,0.000013646
1558128781,0.000015671
1558128782,0.000019044
1558128783,0.000015552
1558128784,0.000079063
1558128785,0.000015552
1558128786,0.000013603
1558128787,0.000012743
1558128788,0.000019322
1558128789,0.000014053
1558128790,0.000013312
1558128791,0.000015701
1558128792,0.000015106
1558128793,0.000016443
1558128794,0.00001329
1558128795,0.000013465
1558128796,0.000026693
1558128797,0.00002769
1558128798,0.000021245
1558128799,0.00004239
1558128800,0.000014826
1558128801,0.000013837
1558128802,0.000022222
1558128803,0.000030552
1558128804,0.000014571
1558128805,0.00003187
1558128806,0.000045225
1558128807,0.000025423
1558128808,0.000017687
1558128809,0.000026472
1558128810,0.000019584
1558128811,0.00003018
1558128812,0.000019157
1558128813,0.000025276
1558128814,0.000023868
1558128815,0.000015842
1558128816,0.000024047
1558128817,0.000017201
1558128818,0.000016631
1558128819,0.000012646
1558128820,0.000026471
1558128821,0.00001445
1558128822,0.000045194
1558128823,0.000020846
1558128824,0.000062707
1558128825,0.000019869
1558128826,0.000035604
1558128827,0.000013487
1558128828,0.00001325
1558128829,0.000027872
1558128830,0.00002382
1558128831,0.000013623
1558128832,0.00003011
1558128833,0.000011535
1558128834,0.000015728
1558128835,0.000013618
1558128836,0.000017117
1558128837,0.000036821
1558128838,0.000027666
1558128839,0.000015693
1558128840,0.000017369
1558128841,0.000014904
1558128842,0.000036452
1558128843,0.000031685
1558128844,0.000013589
1558128845,0.000021632
1558128846,0.000015196
1558128847,0.000014602
1558128848,0.000018753
1558128849,0.00001805
1558128850,0.000046618
1558128851,0.000013101
1558128852,0.000012733
1558128853,0.000040357
1558128854,0.000028929
1558128855,0.00001398
1558128856,0.000013882
1558128857,0.000013935
1558128858,0.00002421
1558128859,0.000032502
1558128860,0.000020684
1558128861,0.000015508
1558128862,0.000014775
1558128863,0.000016904
1558128864,0.000013391
1558128865,0.000019122
1558128866,0.000017597
1558128867,0.000024971
1558128868,0.000022807
1558128869,0.000017967
1558128870,0.000014319
1558128871,0.000013597
1558128872,0.001185942
1558128873,0.000014544
1558128874,0.000014059
1558128875,0.000038247
1558128876,0.000011827
1558128877,0.000019273
1558128878,0.000019934
1558128879,0.000017547
1558128880,0.000013002
1558128881,0.000032657
1558128882,0.000016646
1558128883,0.000013592
1558128884,0.00001279
1558128885,0.000015766
1558128886,0.000017091
1558128887,0.000017857
1558128888,0.000014861
1558128889,0.000025469
1558128890,0.000016311
1558128891,0.002152066
1558128892,0.000013019
1558128893,0.000020876
1558128894,0.000013158
1558128895,0.000034452
1558128896,0.000025682
1558128897,0.000026727
1558128898,0.000019674
1558128899,0.000019142
1558128900,0.000026459
1558128901,0.000015902
1558128902,0.000014285
1558128903,0.000015579
1558128904,0.000017789
1558128905,0.000025283
1558128906,0.000012605
1558128907,0.000017064
1558128908,0.00001592
1558128909,0.000017816
1558128910,0.000023589
1558128911,0.000017905
1558128912,0.00001552
1558128913,0.000016386
1558128914,0.00002082
1558128915,0.000038961
1558128916,0.000015818
1558128917,0.000014988
1558128918,0.000015805
1558128919,0.000013119
1558128920,0.000030409
1558128921,0.000028437
1558128922,0.000025375
1558128923,0.000014457
1558128924,0.000028481
1558128925,0.000016561
1558128926,0.000014024
1558128927,0.000015263
1558128928,0.000013151
