timestamp,value
1558128780,10575808
1558128781,10575808
1558128782,10575808
1558128783,10575808
1558128784,10575808
1558128785,10575808
1558128786,10575808
1558128787,10575808
1558128788,10575808
1558128789,10575808
1558128790,10575808
1558128791,10575808
1558128792,10575808
1558128793,10575808
1558128794,10575808
1558128795,10575808
1558128796,10575808
1558128797,10575808
1558128798,10575808
1558128799,10575808
1558128800,10575808
1558128801,10575812
1558128802,10575812
1558128803,10575816
1558128804,10575816
1558128805,10575816
1558128806,10575816
1558128807,10575820
1558128808,10575820
1558128809,10575824
1558128810,10575824
1558128811,10575824
1558128812,10575824
1558128813,10575824
1558128814,10575824
1558128815,10575844
1558128816,10575848
1558128817,10575848
1558128818,10575848
1558128819,10575848
1558128820,10575848
1558128821,10575848
1558128822,10575884
1558128823,10575884
1558128824,10575884
1558128825,10575884
1558128826,10575900
1558128827,10575920
1558128828,10575976
1558128829,10576008
1558128830,10576020
1558128831,10576048
1558128832,10576068
1558128833,10576096
1558128834,10576132
1558128835,10576160
1558128836,10576204
1558128837,10576252
1558128838,10576252
1558128839,10576264
1558128840,10576316
1558128841,10576376
1558128842,10576436
1558128843,10576472
1558128844,10576520
1558128845,10576588
1558128846,10576648
1558128847,10576688
1558128848,10576724
1558128849,10576776
1558128850,10576824
1558128851,10576900
1558128852,10576956
1558128853,10577016
1558128854,10577056
1558128855,10577120
1558128856,10577200
1558128857,10577244
1558128858,10577304
1558128859,10577332
1558128860,10577404
1558128861,10577416
1558128862,10577480
1558128863,10577528
1558128864,10577576
1558128865,10577616
1558128866,10577648
1558128867,10577688
1558128868,10577724
1558128869,10577740
1558128870,10577780
1558128871,10577852
1558128872,10577908
1558128873,10577960
1558128874,10578004
1558128875,10578044
1558128876,10578100
1558128877,10578128
1558128878,10578144
1558128879,10578164
1558128880,10578192
1558128881,10578248
1558128882,10578300
1558128883,10578348
1558128884,10578368
1558128885,10578432
1558128886,10578472
1558128887,10578504
1558128888,10578540
1558128889,10578556
1558128890,10578580
1558128891,10578608
1558128892,10578620
1558128893,10578644
1558128894,10578672
1558128895,10578696
1558128896,10578720
1558128897,10578724
1558128898,10578744
1558128899,10578784
1558128900,10578816
1558128901,10578832
1558128902,10578876
1558128903,10578892
1558128904,10578908
1558128905,10578932
1558128906,10578952
1558128907,10578980
1558128908,10578992
1558128909,10579012
1558128910,10579024
1558128911,10579044
1558128912,10579072
1558128913,10579096
1558128914,10579112
1558128915,10579128
1558128916,10579164
1558128917,10579176
1558128918,10579208
1558128919,10579212
1558128920,10579248
1558128921,10579264
1558128922,10579292
1558128923,10579296
1558128924,10579316
1558128925,10579344
1558128926,10579368
1558128927,10579380
1558128928,10579404
1558128929,10579420
1558128930,10579444
1558128931,10579464
1558128932,10579476
1558128933,10579500
1558128934,10579512
1558128935,10579540
1558128936,10579556
1558128937,10579588
1558128938,10579608
1558128939,10579628
1558128940,10579652
1558128941,10579688
1558128942,10579692
1558128943,10579692
1558128944,10579712
1558128945,10579728
1558128946,10579744
1558128947,10579756
1558128948,10579784
1558128949,10579796
1558128950,10579812
1558128951,10579836
1558128952,10579844
1558128953,10579856
1558128954,10579876
1558128955,10579880
1558128956,10579892
1558128957,10579900
1558128958,10579900
1558128959,10579908
1558128960,10579912
1558128961,10579928
1558128962,10579944
1558128963,10579952
1558128964,10579976
1558128965,10579992
1558128966,10580000
1558128967,10580000
1558128968,10580008
1558128969,10580016
1558128970,10580040
1558128971,10580048
1558128972,10580052
1558128973,10580056
1558128974,10580060
1558128975,10580072
1558128976,10580092
1558128977,10580104
1558128978,10580108
1558128979,10580120
1558128980,10580124
1558128981,10580128
1558128982,10580140
1558128983,10580148
1558128984,10580172
1558128985,10580184
1558128986,10580196
1558128987,10580204
1558128988,10580212
1558128989,10580232
1558128990,10580236
1558128991,10580240
1558128992,10580256
1558128993,10580264
1558128994,10580276
1558128995,10580284
1558128996,10580296
1558128997,10580304
1558128998,10580308
1558128999,10580332
1558129000,10580340
1558129001,10580356
1558129002,10580364
1558129003,10580376
1558129004,10580376
1558129005,10580376
1558129006,10580388
1558129007,10580396
1558129008,10580396
1558129009,10580404
1558129010,10580404
1558129011,10580412
1558129012,10580424
1558129013,10580436
1558129014,10580444
1558129015,10580444
1558129016,10580448
1558129017,10580456
1558129018,10580464
1558129019,10580480
1558129020,10580488
1558129021,10580496
1558129022,10580500
1558129023,10580500
1558129024,10580500
1558129025,10580504
1558129026,10580512
1558129027,10580532
1558129028,10580532
1558129029,10580536
1558129030,10580548
1558129031,10580556
1558129032,10580568
1558129033,10580572
1558129034,10580572
1558129035,10580576
1558129036,10580576
1558129037,10580604
1558129038,10580608
1558129039,10580612
1558129040,10580616
