timestamp,value
1558128780,22810
1558128781,10727
1558128782,22082
1558128783,11732
1558128784,23104
1558128785,11733
1558128786,23085
1558128787,11396
1558128788,22751
1558128789,11310
1558128790,22662
1558128791,11620
1558128792,22965
1558128793,11577
1558128794,22953
1558128795,11914
1558128796,23063
1558128797,12042
1558128798,23406
1558128799,11711
1558128800,23076
1558128801,11378
1558128802,22726
1558128803,12039
1558128804,23398
1558128805,11337
1558128806,22690
1558128807,11342
1558128808,22694
1558128809,11680
1558128810,23053
1558128811,11456
1558128812,22618
1558128813,11032
1558128814,22401
1558128815,11854
1558128816,23000
1558128817,10921
1558128818,22268
1558128819,11701
1558128820,22849
1558128821,11554
1558128822,22926
1558128823,11500
1558128824,22864
1558128825,12059
1558128826,23427
1558128827,10957
1558128828,22330
1558128829,11098
1558128830,22467
1558128831,11361
1558128832,22719
1558128833,11086
1558128834,22446
1558128835,11308
1558128836,22664
1558128837,10945
1558128838,22309
1558128839,11295
1558128840,22667
1558128841,11569
1558128842,22932
1558128843,11675
1558128844,23041
1558128845,12120
1558128846,23480
1558128847,11317
1558128848,22691
1558128849,11792
1558128850,23154
1558128851,11840
1558128852,23208
1558128853,11842
1558128854,23007
1558128855,12075
1558128856,23442
1558128857,11611
1558128858,22763
1558128859,11583
1558128860,22954
1558128861,12119
1558128862,23493
1558128863,11939
1558128864,23305
1558128865,11164
1558128866,22722
1558128867,11010
1558128868,22375
1558128869,11382
1558128870,22741
1558128871,12108
1558128872,23476
1558128873,10716
1558128874,22081
1558128875,11211
1558128876,22582
1558128877,10911
1558128878,22064
1558128879,11150
1558128880,22301
1558128881,11564
1558128882,22922
1558128883,12342
1558128884,23711
1558128885,11456
1558128886,22841
1558128887,12039
1558128888,23198
1558128889,11451
1558128890,23019
1558128891,11699
1558128892,23049
1558128893,12517
1558128894,23662
1558128895,12203
1558128896,23582
1558128897,11933
1558128898,23299
1558128899,12316
1558128900,23684
1558128901,12148
1558128902,23524
1558128903,11803
1558128904,23169
1558128905,11384
1558128906,22742
1558128907,11757
1558128908,23110
