timestamp,value
1558128780,3464104
1558128781,2303032
1558128782,3475856
1558128783,2295496
1558128784,3466760
1558128785,2280504
1558128786,3451016
1558128787,2317128
1558128788,3488944
1558128789,2341440
1558128790,3512160
1558128791,2336256
1558128792,3507424
1558128793,2358576
1558128794,3531944
1558128795,2302936
1558128796,3473968
1558128797,2304232
1558128798,3435080
1558128799,2322960
1558128800,3493808
1558128801,2330528
1558128802,3503336
1558128803,2229000
1558128804,3440392
1558128805,2260384
1558128806,3432744
1558128807,2324584
1558128808,3496344
1558128809,2271776
1558128810,3444056
1558128811,2339416
1558128812,3511856
1558128813,2362120
1558128814,3534936
1558128815,2301584
1558128816,3471616
1558128817,2277064
1558128818,3449464
1558128819,2258912
1558128820,3469768
1558128821,2275576
1558128822,3448576
1558128823,2277704
1558128824,3450760
1558128825,2342080
1558128826,3514336
1558128827,2337808
1558128828,3511240
1558128829,2345072
1558128830,3518456
1558128831,2337952
1558128832,3509968
1558128833,2312368
1558128834,3524960
1558128835,2320552
1558128836,3491472
1558128837,2272960
1558128838,3485648
1558128839,2267984
1558128840,3440856
1558128841,2244808
1558128842,3417232
1558128843,2296784
1558128844,3468008
1558128845,2285080
1558128846,3456360
1558128847,2329416
1558128848,3501888
1558128849,2372880
1558128850,3544048
1558128851,2348368
1558128852,3520360
1558128853,2293992
1558128854,3507496
1558128855,2338656
1558128856,3510720
1558128857,2278712
1558128858,3452808
1558128859,2323392
1558128860,3494544
1558128861,2293640
1558128862,3465272
1558128863,2302272
1558128864,3471776
1558128865,2246168
1558128866,3418112
1558128867,2258552
1558128868,3431792
1558128869,2204040
1558128870,3415480
1558128871,2298008
1558128872,3470160
1558128873,2304232
1558128874,3475744
1558128875,2313368
1558128876,3486336
1558128877,2242464
1558128878,3456128
1558128879,2263112
1558128880,3435616
1558128881,2237184
1558128882,3408664
1558128883,2288112
1558128884,3418944
1558128885,2358192
1558128886,3530664
1558128887,2347464
1558128888,3478128
1558128889,2267528
1558128890,3399816
1558128891,2279872
1558128892,3412504
1558128893,2262960
1558128894,3474664
1558128895,2287232
1558128896,3459304
1558128897,2256216
1558128898,3425904
1558128899,2279672
1558128900,3452024
1558128901,2357872
1558128902,3528552
1558128903,2378296
1558128904,3549520
1558128905,2315016
1558128906,3488056
1558128907,2313744
1558128908,3485416
1558128909,2292008
1558128910,3463304
1558128911,2331704
1558128912,3501920
1558128913,2307000
1558128914,3517592
1558128915,2341704
1558128916,3515104
1558128917,2318144
1558128918,3489816
1558128919,2327240
1558128920,3498728
1558128921,2324176
1558128922,3495336
1558128923,2294512
1558128924,3464600
1558128925,2325000
1558128926,3495792
1558128927,2285672
1558128928,3456088
1558128929,2243824
1558128930,3414872
1558128931,2283248
1558128932,3454976
1558128933,2325432
1558128934,3458640
1558128935,2299024
1558128936,3469968
1558128937,2311816
1558128938,3482928
1558128939,2312864
1558128940,3525120
1558128941,2326056
1558128942,3458752
1558128943,2239664
1558128944,3449992
1558128945,2307952
1558128946,3478864
1558128947,2322840
1558128948,3495472
1558128949,2365408
1558128950,3537144
1558128951,2382368
1558128952,3553584
1558128953,2281016
1558128954,3452840
1558128955,2251216
1558128956,3423792
1558128957,2279032
1558128958,3450432
1558128959,2269304
1558128960,3440896
1558128961,2246872
1558128962,3416888
1558128963,2350032
1558128964,3522640
1558128965,2337008
1558128966,3507544
1558128967,2326192
1558128968,3498616
1558128969,2277544
1558128970,3450040
1558128971,2280848
1558128972,3451944
1558128973,2261664
1558128974,3393136
1558128975,2325768
1558128976,3496544
1558128977,2364328
1558128978,3537112
1558128979,2300040
1558128980,3471464
1558128981,2280160
1558128982,3412216
1558128983,2259160
1558128984,3471376
1558128985,2276912
1558128986,3447144
1558128987,2228056
1558128988,3402136
1558128989,2290856
1558128990,3421552
1558128991,2306904
1558128992,3438400
1558128993,2257656
1558128994,3431648
1558128995,2289720
1558128996,3461048
1558128997,2298048
1558128998,3468824
1558128999,2288424
1558129000,3461856
1558129001,2281112
1558129002,3453008
1558129003,2287032
1558129004,3460352
1558129005,2331968
1558129006,3501576
1558129007,2257536
1558129008,3428640
1558129009,2271304
1558129010,3440384
1558129011,2363736
1558129012,3536976
1558129013,2333352
1558129014,3465872
1558129015,2303872
1558129016,3433768
1558129017,2301568
1558129018,3474656
1558129019,2295040
1558129020,3465808
1558129021,2316720
1558129022,3490128
1558129023,2305048
1558129024,3476760
1558129025,2310056
1558129026,3483528
1558129027,2282840
1558129028,3454192
1558129029,2282880
1558129030,3455160
1558129031,2282880
1558129032,3454728
1558129033,2286856
1558129034,3457888
1558129035,2214928
1558129036,3427112
1558129037,2275064
1558129038,3446056
1558129039,2232016
1558129040,3402728
1558129041,2252024
1558129042,3464976
1558129043,2300200
1558129044,3474960
1558129045,2308368
1558129046,3520136
1558129047,2327480
1558129048,3499184
1558129049,2332840
1558129050,3503208
1558129051,2310216
1558129052,3480968
1558129053,2264504
1558129054,3437280
1558129055,2331640
1558129056,3503616
1558129057,2331736
1558129058,3504552
1558129059,2310096
1558129060,3483344
1558129061,2314096
1558129062,3486952
1558129063,2252568
1558129064,3424256
1558129065,2258944
1558129066,3471352
1558129067,2290184
1558129068,3501928
1558129069,2389592
1558129070,3560280
1558129071,2318208
1558129072,3528088
1558129073,2316408
1558129074,3448032
1558129075,2312864
1558129076,3445936
1558129077,2301560
1558129078,3473960
1558129079,2295880
1558129080,3427400
1558129081,2294376
1558129082,3467224
1558129083,2237360
1558129084,3448752
1558129085,2271328
1558129086,3480936
1558129087,2342536
1558129088,3514960
1558129089,2267880
1558129090,3439072
1558129091,2266248
1558129092,3438280
1558129093,2291160
1558129094,3464480
1558129095,2303384
1558129096,3474552
1558129097,2274280
1558129098,3445048
1558129099,2203384
1558129100,3414696
1558129101,2250344
1558129102,3422576
1558129103,2307592
1558129104,3440680
1558129105,2334520
1558129106,3506888
1558129107,2289912
1558129108,3461992
1558129109,2332000
1558129110,3504680
1558129111,2299040
1558129112,3470184
1558129113,2293792
1558129114,3465240
1558129115,2291592
1558129116,3464488
1558129117,2318360
1558129118,3490200
1558129119,2281248
1558129120,3414016
1558129121,2282696
1558129122,3454632
1558129123,2239440
1558129124,3410448
1558129125,2298720
1558129126,3469392
1558129127,2257656
1558129128,3469568
1558129129,2281680
1558129130,3452984
1558129131,2301520
1558129132,3434088
1558129133,2327176
1558129134,3497424
1558129135,2362032
1558129136,3533152
1558129137,2358728
1558129138,3529824
1558129139,2278096
1558129140,3448328
1558129141,2258312
1558129142,3430648
