timestamp,value
1558128780,1
1558128781,1
1558128782,1
1558128783,1
1558128784,1
1558128785,1
1558128786,1
1558128787,1
1558128788,1
1558128789,1
1558128790,1
1558128791,1
1558128792,1
1558128793,1
1558128794,1
1558128795,1
1558128796,1
1558128797,1
1558128798,1
1558128799,1
1558128800,1
1558128801,1
1558128802,21
1558128803,21
1558128804,26
1558128805,29
1558128806,27
1558128807,31
1558128808,26
1558128809,26
1558128810,32
1558128811,26
1558128812,25
1558128813,27
1558128814,24
1558128815,28
1558128816,32
1558128817,25
1558128818,24
1558128819,35
1558128820,23
1558128821,30
1558128822,29
1558128823,29
1558128824,27
1558128825,36
1558128826,37
1558128827,43
1558128828,47
1558128829,39
1558128830,47
1558128831,54
1558128832,44
1558128833,72
1558128834,50
1558128835,68
1558128836,63
1558128837,5
1558128838,5
1558128839,54
1558128840,62
1558128841,86
1558128842,71
1558128843,66
1558128844,69
1558128845,59
1558128846,94
1558128847,73
1558128848,81
1558128849,112
1558128850,108
1558128851,120
1558128852,86
1558128853,95
1558128854,81
1558128855,154
1558128856,81
1558128857,87
1558128858,72
1558128859,97
1558128860,136
1558128861,119
1558128862,136
1558128863,103
1558128864,107
1558128865,119
1558128866,107
1558128867,112
1558128868,111
1558128869,77
1558128870,146
1558128871,110
1558128872,152
1558128873,122
1558128874,103
1558128875,124
1558128876,154
1558128877,96
1558128878,99
1558128879,149
1558128880,159
1558128881,89
1558128882,154
1558128883,107
1558128884,133
1558128885,137
1558128886,148
1558128887,111
1558128888,129
1558128889,100
1558128890,104
1558128891,77
1558128892,94
1558128893,107
1558128894,108
1558128895,66
1558128896,117
1558128897,81
1558128898,157
1558128899,92
1558128900,124
1558128901,139
1558128902,144
1558128903,118
1558128904,125
1558128905,112
1558128906,106
1558128907,100
1558128908,115
1558128909,125
1558128910,135
1558128911,126
1558128912,104
1558128913,113
1558128914,121
1558128915,147
1558128916,81
1558128917,101
1558128918,75
1558128919,150
1558128920,109
1558128921,114
1558128922,165
1558128923,90
1558128924,85
1558128925,113
1558128926,116
1558128927,147
1558128928,112
1558128929,134
1558128930,117
1558128931,172
1558128932,179
1558128933,89
1558128934,115
1558128935,97
1558128936,114
1558128937,104
1558128938,125
1558128939,168
1558128940,164
1558128941,134
1558128942,148
1558128943,98
1558128944,140
1558128945,74
1558128946,107
1558128947,94
1558128948,122
1558128949,135
1558128950,144
1558128951,134
1558128952,116
1558128953,150
1558128954,99
1558128955,114
1558128956,137
1558128957,123
1558128958,92
1558128959,134
1558128960,142
1558128961,91
1558128962,111
1558128963,163
1558128964,81
1558128965,106
1558128966,149
1558128967,158
1558128968,163
1558128969,186
1558128970,99
1558128971,99
1558128972,147
1558128973,98
1558128974,164
1558128975,93
1558128976,149
1558128977,122
1558128978,154
1558128979,113
1558128980,182
1558128981,119
1558128982,146
1558128983,145
1558128984,83
1558128985,140
1558128986,128
1558128987,107
1558128988,130
1558128989,151
1558128990,100
1558128991,147
1558128992,113
1558128993,157
