timestamp,value
1558128780,161
1558128781,191
1558128782,192
1558128783,185
1558128784,161
1558128785,189
1558128786,168
1558128787,189
1558128788,164
1558128789,175
1558128790,165
1558128791,187
1558128792,160
1558128793,176
1558128794,173
1558128795,197
1558128796,164
1558128797,182
1558128798,169
1558128799,164
1558128800,211
1558128801,181
1558128802,208
1558128803,161
1558128804,168
1558128805,214
1558128806,167
1558128807,184
1558128808,177
1558128809,178
1558128810,208
1558128811,178
1558128812,207
1558128813,202
1558128814,196
1558128815,179
1558128816,186
1558128817,192
1558128818,175
1558128819,198
1558128820,182
1558128821,182
1558128822,165
1558128823,201
1558128824,167
1558128825,190
1558128826,172
1558128827,159
1558128828,165
1558128829,164
1558128830,202
1558128831,180
1558128832,165
1558128833,162
1558128834,186
1558128835,167
1558128836,194
1558128837,160
1558128838,179
1558128839,191
1558128840,203
1558128841,197
1558128842,190
1558128843,185
1558128844,163
1558128845,180
1558128846,213
1558128847,167
1558128848,212
1558128849,180
1558128850,191
1558128851,159
1558128852,168
1558128853,181
1558128854,184
1558128855,172
1558128856,211
1558128857,197
1558128858,205
1558128859,188
1558128860,183
1558128861,221
1558128862,171
1558128863,170
1558128864,182
1558128865,194
1558128866,200
1558128867,193
1558128868,209
1558128869,197
1558128870,182
1558128871,162
1558128872,179
1558128873,198
1558128874,179
1558128875,186
1558128876,162
1558128877,171
1558128878,191
1558128879,179
1558128880,175
1558128881,164
1558128882,195
1558128883,182
1558128884,203
1558128885,199
1558128886,161
1558128887,168
1558128888,162
1558128889,161
1558128890,164
1558128891,180
1558128892,161
1558128893,174
1558128894,165
1558128895,160
1558128896,175
1558128897,196
1558128898,183
1558128899,164
1558128900,176
1558128901,189
1558128902,189
1558128903,160
1558128904,166
1558128905,200
1558128906,188
1558128907,163
1558128908,210
1558128909,172
1558128910,186
1558128911,182
1558128912,203
1558128913,190
1558128914,196
1558128915,195
1558128916,190
1558128917,170
1558128918,200
1558128919,166
1558128920,170
1558128921,189
1558128922,197
1558128923,171
1558128924,210
1558128925,193
1558128926,178
1558128927,162
1558128928,213
1558128929,205
1558128930,198
1558128931,161
1558128932,169
1558128933,177
1558128934,184
1558128935,220
1558128936,175
1558128937,191
1558128938,203
1558128939,173
1558128940,168
1558128941,168
1558128942,178
1558128943,182
1558128944,168
1558128945,196
1558128946,161
1558128947,162
1558128948,207
1558128949,166
1558128950,164
1558128951,158
1558128952,180
1558128953,164
1558128954,178
1558128955,165
1558128956,169
1558128957,162
1558128958,170
1558128959,180
1558128960,177
1558128961,200
1558128962,192
1558128963,187
1558128964,191
1558128965,199
1558128966,162
1558128967,164
1558128968,163
1558128969,188
1558128970,174
1558128971,176
1558128972,165
1558128973,210
1558128974,192
1558128975,167
1558128976,167
1558128977,165
1558128978,166
1558128979,197
1558128980,174
1558128981,183
1558128982,168
1558128983,163
1558128984,161
1558128985,193
1558128986,197
1558128987,186
1558128988,180
1558128989,196
1558128990,175
1558128991,195
1558128992,196
1558128993,196
1558128994,178
1558128995,191
1558128996,161
1558128997,173
1558128998,184
1558128999,216
1558129000,176
1558129001,178
1558129002,180
1558129003,164
1558129004,159
1558129005,185
1558129006,161
1558129007,185
1558129008,213
1558129009,185
1558129010,189
1558129011,199
1558129012,192
1558129013,208
1558129014,166
1558129015,175
1558129016,186
1558129017,165
1558129018,205
1558129019,179
1558129020,166
1558129021,186
1558129022,187
1558129023,204
1558129024,161
1558129025,188
1558129026,181
1558129027,199
1558129028,178
1558129029,165
1558129030,193
1558129031,161
1558129032,180
1558129033,206
1558129034,177
1558129035,164
1558129036,161
1558129037,190
1558129038,194
1558129039,164
1558129040,161
1558129041,214
1558129042,184
1558129043,174
1558129044,208
1558129045,160
1558129046,161
1558129047,159
1558129048,180
1558129049,163
1558129050,161
1558129051,190
1558129052,172
1558129053,160
1558129054,172
1558129055,167
1558129056,163
1558129057,168
1558129058,198
1558129059,190
1558129060,159
1558129061,162
1558129062,203
1558129063,192
1558129064,164
1558129065,181
1558129066,164
1558129067,205
1558129068,165
1558129069,196
1558129070,161
1558129071,172
1558129072,192
1558129073,167
1558129074,204
1558129075,188
1558129076,183
1558129077,169
1558129078,194
1558129079,163
1558129080,180
1558129081,183
1558129082,160
1558129083,195
1558129084,191
1558129085,186
1558129086,161
1558129087,206
1558129088,170
1558129089,187
1558129090,192
1558129091,171
1558129092,194
1558129093,163
1558129094,217
1558129095,180
1558129096,164
1558129097,159
1558129098,162
1558129099,198
1558129100,161
1558129101,209
1558129102,167
1558129103,174
1558129104,162
1558129105,163
